Edge,WBS,PredecessorWBS,RelType,Note,_TaskTitle,_Window,_LikelyPrior_WBS,_LikelyPrior_Title
,P1.A.1.1,,,,Engage securities counsel; scope SMA program legal form & jurisdiction,wk0-6,,
,P1.A.1.2,,,,Counsel drafts Investment Management Agreement (IMA) + SMA account terms,wk0-6,P1.A.1.1,Engage securities counsel; scope SMA program legal form & jurisdiction
,P1.A.1.3,,,,Kate reviews and approves final IMA / structure terms,wk0-6,P1.A.1.2,Counsel drafts Investment Management Agreement (IMA) + SMA account terms
,P1.A.1.4,,,,Kate executes (signs) the IMA and governing agreements,wk0-6,P1.A.1.3,Kate reviews and approves final IMA / structure terms
,P1.A.2.1,,,,Prepare account-opening & trading-authorization documents for live SMA,wk15-17,P1.A.1.4,Kate executes (signs) the IMA and governing agreements
,P1.A.2.2,,,,Configure order-management / trade routing for SMA accounts,wk15-17,P1.A.2.1,Prepare account-opening & trading-authorization documents for live SMA
,P1.A.2.3,,,,Kate signs trading authorizations / account-control agreements,wk15-17,P1.A.2.2,Configure order-management / trade routing for SMA accounts
,P1.B.1.1,,,,Kate specifies the values/ethical screening ruleset & exclusion criteria,wk0-8,,
,P1.B.1.2,,,,Codify her rules into a written screening methodology document,wk0-8,P1.B.1.1,Kate specifies the values/ethical screening ruleset & exclusion criteria
,P1.B.1.3,,,,Build screening data pipeline / license vendor data feeds,wk0-8,P1.B.1.2,Codify her rules into a written screening methodology document
,P1.B.1.4,,,,Kate validates & signs off methodology as canonical,wk0-8,P1.B.1.3,Build screening data pipeline / license vendor data feeds
,P1.B.2.1,,,,Run first quarterly portfolio screen against methodology,wk9-12,P1.B.1.4,Kate validates & signs off methodology as canonical
,P1.B.2.2,,,,Produce exceptions report & remediation list,wk9-12,P1.B.2.1,Run first quarterly portfolio screen against methodology
,P1.B.2.3,,,,Kate reviews holdings-level screen output & confirms compliance,wk9-12,P1.B.2.2,Produce exceptions report & remediation list
,P1.B.3.1,,,,Obtain relevant Catholic-values / IOR benchmark data (Morningstar Indexes),wk9-12,P1.B.2.3,Kate reviews holdings-level screen output & confirms compliance
,P1.B.3.2,,,,Map portfolio to benchmark; compute tracking & attribution,wk9-12,P1.B.3.1,Obtain relevant Catholic-values / IOR benchmark data (Morningstar Indexes)
,P1.B.3.3,,,,Kate confirms benchmark selection & reviews relative performance,wk9-12,P1.B.3.2,Map portfolio to benchmark; compute tracking & attribution
,P1.C.1.1,,,,Draft custodian RFP; shortlist qualified custodians,wk0-10,,
,P1.C.1.2,,,,Run diligence & fee negotiation with custodian finalists,wk0-10,P1.C.1.1,Draft custodian RFP; shortlist qualified custodians
,P1.C.1.3,,,,Complete custodian onboarding paperwork & account opening,wk0-10,P1.C.1.2,Run diligence & fee negotiation with custodian finalists
,P1.C.1.4,,,,Kate signs the custody agreement,wk0-10,P1.C.1.3,Complete custodian onboarding paperwork & account opening
,P1.C.2.1,,,,Draft administrator RFP; shortlist fund administrators,wk0-15,P1.C.1.4,Kate signs the custody agreement
,P1.C.2.2,,,,Diligence & negotiate NAV / reporting service terms,wk0-15,P1.C.2.1,Draft administrator RFP; shortlist fund administrators
,P1.C.2.3,,,,Complete administrator onboarding & data integration,wk0-15,P1.C.2.2,Diligence & negotiate NAV / reporting service terms
,P1.C.2.4,,,,Kate signs the administration agreement,wk0-15,P1.C.2.3,Complete administrator onboarding & data integration
,P1.C.3.1,,,,Select audit firm & execute engagement,wk0-16,P1.C.2.4,Kate signs the administration agreement
,P1.C.3.2,,,,Provide complete accounting records & performance data to auditor,wk0-16,P1.C.3.1,Select audit firm & execute engagement
,P1.C.3.3,,,,Auditor performs first-period audit fieldwork,wk0-16,P1.C.3.2,Provide complete accounting records & performance data to auditor
,P1.C.3.4,,,,Kate signs management representation letter & approves audited financials,wk0-16,P1.C.3.3,Auditor performs first-period audit fieldwork
,P1.C.4.1,,,,Define firm & composites per GIPS standards,wk0-14,P1.C.3.4,Kate signs management representation letter & approves audited financials
,P1.C.4.2,,,,Compile complete historical performance & account records into GIPS input set,wk0-14,P1.C.4.1,Define firm & composites per GIPS standards
,P1.C.4.3,,,,Calculate GIPS-compliant composite returns & required statistics,wk0-14,P1.C.4.2,Compile complete historical performance & account records into GIPS input set
,P1.C.4.4,,,,Draft GIPS policies & procedures manual + compliant presentation,wk0-14,P1.C.4.3,Calculate GIPS-compliant composite returns & required statistics
,P1.C.4.5,,,,Kate attests completeness of firm records for the composite,wk0-14,P1.C.4.4,Draft GIPS policies & procedures manual + compliant presentation
,P1.C.5.1,,,,Engage independent GIPS verifier,wk14-26,P1.C.4.5,Kate attests completeness of firm records for the composite
,P1.C.5.2,,,,Provide verifier record access & respond to verifier queries,wk14-26,P1.C.5.1,Engage independent GIPS verifier
,P1.C.5.3,,,,Remediate verifier findings,wk14-26,P1.C.5.2,Provide verifier record access & respond to verifier queries
,P1.C.5.4,,,,Kate signs verification engagement & representation letters,wk14-26,P1.C.5.3,Remediate verifier findings
,P1.C.5.5,,,,Receive GIPS verification report,wk14-26,P1.C.5.4,Kate signs verification engagement & representation letters
,P1.D.1.1,,,,Determine registration eligibility / threshold / jurisdiction,wk0-22,,
,P1.D.1.2,,,,"Draft Form ADV Parts 1, 2A, 2B",wk0-22,P1.D.1.1,Determine registration eligibility / threshold / jurisdiction
,P1.D.1.3,,,,Build compliance manual & code of ethics,wk0-22,P1.D.1.2,"Draft Form ADV Parts 1, 2A, 2B"
,P1.D.1.4,,,,Kate attests & files Form ADV via IARD,wk0-22,P1.D.1.3,Build compliance manual & code of ethics
,P1.D.1.5,,,,Respond to any SEC deficiency comments,wk0-22,P1.D.1.4,Kate attests & files Form ADV via IARD
,P1.D.2.1,,,,Draft AML/KYC policies & CIP procedures,wk0-10,P1.D.1.5,Respond to any SEC deficiency comments
,P1.D.2.2,,,,Select KYC / screening vendor & implement,wk0-10,P1.D.2.1,Draft AML/KYC policies & CIP procedures
,P1.D.2.3,,,,Appoint AML compliance officer & run training,wk0-10,P1.D.2.2,Select KYC / screening vendor & implement
,P1.D.2.4,,,,Kate approves & signs adoption of the AML/compliance program,wk0-10,P1.D.2.3,Appoint AML compliance officer & run training
,P1.D.3.1,,,,Determine EU marketing route (AIFMD NPPR / MiFID / reverse solicitation),wk0-8,P1.D.2.4,Kate approves & signs adoption of the AML/compliance program
