Edge,WBS,PredecessorWBS,RelType,Note
P1.A.1.2 <- P1.A.1.1 (SS),P1.A.1.2,P1.A.1.1,SS,governing · counsel engaged
P1.A.1.3 <- P1.A.1.2 (FF),P1.A.1.3,P1.A.1.2,FF,governing · IMA drafted
P1.A.1.4 <- P1.A.1.3 (FF),P1.A.1.4,P1.A.1.3,FF,governing · terms approved
P1.A.2.1 <- P1.C.2.4 (FS),P1.A.2.1,P1.C.2.4,FS,governing · administrator onboarded
P1.A.2.1 <- P1.A.1.4 (FS),P1.A.2.1,P1.A.1.4,FS,lag 9w · IMA executed
P1.A.2.2 <- P1.A.2.1 (SS),P1.A.2.2,P1.A.2.1,SS,governing · account docs underway
P1.A.2.3 <- P1.A.2.2 (FF),P1.A.2.3,P1.A.2.2,FF,governing · OMS configured
P1.B.1.2 <- P1.B.1.1 (SS),P1.B.1.2,P1.B.1.1,SS,governing · ruleset specified
P1.B.1.3 <- P1.B.1.1 (SS),P1.B.1.3,P1.B.1.1,SS,governing · ruleset specified
P1.B.1.4 <- P1.B.1.2 (FF),P1.B.1.4,P1.B.1.2,FF,governing · methodology documented
P1.B.1.4 <- P1.B.1.3 (FF),P1.B.1.4,P1.B.1.3,FF,pipeline built
P1.B.2.1 <- P1.B.1.4 (FS),P1.B.2.1,P1.B.1.4,FS,lag 1w · governing · methodology canonical
P1.B.2.2 <- P1.B.2.1 (SS),P1.B.2.2,P1.B.2.1,SS,governing · screen run
P1.B.2.3 <- P1.B.2.2 (FF),P1.B.2.3,P1.B.2.2,FF,governing · exceptions produced
P1.B.3.1 <- P1.B.1.4 (FS),P1.B.3.1,P1.B.1.4,FS,lag 1w · governing · methodology canonical
P1.B.3.2 <- P1.B.3.1 (SS),P1.B.3.2,P1.B.3.1,SS,governing · benchmark data obtained
P1.B.3.3 <- P1.B.3.2 (FF),P1.B.3.3,P1.B.3.2,FF,governing · attribution computed
P1.C.1.2 <- P1.C.1.1 (SS),P1.C.1.2,P1.C.1.1,SS,governing · shortlist ready
P1.C.1.3 <- P1.C.1.2 (SS),P1.C.1.3,P1.C.1.2,SS,governing · finalist chosen
P1.C.1.4 <- P1.C.1.3 (FF),P1.C.1.4,P1.C.1.3,FF,governing · onboarding complete
P1.C.2.2 <- P1.C.2.1 (SS),P1.C.2.2,P1.C.2.1,SS,governing · shortlist ready
P1.C.2.3 <- P1.C.2.2 (SS),P1.C.2.3,P1.C.2.2,SS,governing · terms negotiated
P1.C.2.4 <- P1.C.2.3 (FF),P1.C.2.4,P1.C.2.3,FF,governing · onboarding complete
P1.C.3.2 <- P1.C.3.1 (SS),P1.C.3.2,P1.C.3.1,SS,governing · auditor engaged
P1.C.3.3 <- P1.C.3.2 (SS),P1.C.3.3,P1.C.3.2,SS,governing · records provided
P1.C.3.4 <- P1.C.3.3 (FF),P1.C.3.4,P1.C.3.3,FF,governing · fieldwork complete
P1.C.4.2 <- P1.C.4.1 (SS),P1.C.4.2,P1.C.4.1,SS,governing · composites defined
P1.C.4.3 <- P1.C.4.2 (SS),P1.C.4.3,P1.C.4.2,SS,governing · records compiled
P1.C.4.4 <- P1.C.4.3 (SS),P1.C.4.4,P1.C.4.3,SS,governing · returns calculated
P1.C.4.5 <- P1.C.4.2 (FF),P1.C.4.5,P1.C.4.2,FF,governing · records compiled
P1.C.4.5 <- P1.C.4.4 (FF),P1.C.4.5,P1.C.4.4,FF,presentation drafted
P1.C.5.1 <- P1.C.4.5 (FS),P1.C.5.1,P1.C.4.5,FS,governing · GIPS build attested [M8 spine]
P1.C.5.2 <- P1.C.5.1 (SS),P1.C.5.2,P1.C.5.1,SS,governing · verifier engaged
P1.C.5.3 <- P1.C.5.2 (SS),P1.C.5.3,P1.C.5.2,SS,governing · queries answered
P1.C.5.4 <- P1.C.5.3 (FF),P1.C.5.4,P1.C.5.3,FF,governing · findings remediated
P1.C.5.5 <- P1.C.5.4 (FF),P1.C.5.5,P1.C.5.4,FF,governing · engagement signed
P1.D.1.2 <- P1.D.1.1 (SS),P1.D.1.2,P1.D.1.1,SS,governing · eligibility determined
P1.D.1.3 <- P1.D.1.1 (SS),P1.D.1.3,P1.D.1.1,SS,governing · eligibility determined
P1.D.1.4 <- P1.D.1.2 (FF),P1.D.1.4,P1.D.1.2,FF,governing · ADV drafted
P1.D.1.4 <- P1.D.1.3 (FF),P1.D.1.4,P1.D.1.3,FF,compliance manual built
P1.D.1.5 <- P1.D.1.4 (SS),P1.D.1.5,P1.D.1.4,SS,governing · ADV filed
P1.D.2.2 <- P1.D.2.1 (SS),P1.D.2.2,P1.D.2.1,SS,governing · policies drafted
P1.D.2.3 <- P1.D.2.1 (SS),P1.D.2.3,P1.D.2.1,SS,governing · policies drafted
